id,fecha_llegada,retraso,tipo_vuelo,destino,fecha_despegue,slot
VY4547,, -, NAT, Paris,,0
VY3887,, 00:10, NAT, Sevilla,,0
VY1603,, -, INTERNAT, Nueva York,,0
VY3302,, 00:15, NAT, Bruselas,,0
VY4548,2022-06-08 10:30:00,-,NAT,Helsinki,2022-06-08 11:00:00,0
VY3888,2022-06-08 15:00:00,00:10,NAT,Roma,2022-06-08 15:30:00,0
VY1605,2022-06-08 08:45:00,-,NAT,Madrid,2022-06-08 09:15:00,0
VY3307,2022-05-08 12:30:00,-,INTERNAT,Sao Paulo,2022-05-08 13:30:00,7
VY1606,2022-05-08 11:15:00,-,INTERNAT,Beijing,2022-05-08 12:15:00,6
VY2650,2022-05-08 20:30:00,00:05,NAT,Marrakech,2022-05-08 21:00:00,0
VY1415,2022-05-08 12:10:00,-,NAT,Florencia,2022-05-08 12:40:00,0
VY6611,2022-05-08 13:45:00,-,NAT,Lisboa,2022-05-08 14:15:00,8
